제품명,효능클레임,원료리스트
"화이트 글로우 브라이트닝 앰플","미백, 잡티 케어","정제수, 글리세린, 부틸렌글라이콜, 나이아신아마이드, 알파-알부틴, 트라넥사믹애씨드, 아데노신, 하이드록시에틸셀룰로오스, 카보머, 트로메타민, 다이소듐이디티에이, 페녹시에탄올, 에틸헥실글리세린, 판테놀, 향료"
"시카 수딩 리페어 크림","진정, 보습","정제수, 글리세린, 병풀추출물, 판테놀, 세테아릴알코올, 스쿠알란, 세라마이드엔피, 다이메티콘, 카프릴릭/카프릭트라이글리세라이드, 글리세릴스테아레이트, 폴리소르베이트60, 카보머, 다이소듐이디티에이, 페녹시에탄올, 향료"
"헤어그로우 부스팅 스칼프 토닉","탈모 완화, 육모","정제수, 에탄올, 판테놀, 비오틴, 나이아신아마이드, 멘톨, 살리실릭애씨드, 다이프로필렌글라이콜, 폴리쿼터늄-10, 클림바졸, 하이드롤라이즈드케라틴, 알란토인, 향료, 페녹시에탄올, 에틸헥실글리세린"
"데일리 선 프로텍트 에센스 SPF50+","자외선 차단","정제수, 에칠헥실메톡시신나메이트, 징크옥사이드, 티타늄디옥사이드, 사이클로펜타실록산, 다이메티콘, C12-15알킬벤조에이트, 글리세린, 나이아신아마이드, 폴리메틸실세스퀴옥산, 알루미늄하이드록사이드, 트라이에톡시카프릴릴실란, 다이소듐이디티에이, 페녹시에탄올, 향료"
"글로우 핏 커버 쿠션 SPF35","커버력, 자외선 차단","정제수, 티타늄디옥사이드, 나이아신아마이드, 다이머다이리놀레익애씨드, 사이클로펜타실록산, 다이메티콘, 부틸렌글라이콜, 마이카, 아이언옥사이드, 실리카, 폴리메틸메타크릴레이트, 트라이에톡시카프릴릴실란, 페녹시에탄올, 다이소듐이디티에이, 향료"
"마일드 pH 밸런스 바디워시","저자극, 약산성 피부 보호","정제수, 코카미도프로필베타인, 소듐코코일글루타메이트, 판테놀, 락틱애씨드, 글리세린, 다이프로필렌글라이콜, 코코-글루코사이드, 하이드록시에틸셀룰로오스, 소듐클로라이드, 시트릭애씨드, 다이소듐이디티에이, 페녹시에탄올, 에틸헥실글리세린, 향료"
"프레시 24H 롤온 데오드란트","체취 제거, 24시간 지속","정제수, 알루미늄클로로하이드레이트, 다이프로필렌글라이콜, 사이클로펜타실록산, 다이메티콘, 세틸에틸헥사노에이트, 스테아릴알코올, 글리세린, 판테놀, 알란토인, 트라이클로산, 향료, 다이소듐이디티에이, 페녹시에탄올, 부틸렌글라이콜"
"허니 글로우 립 슬리핑 밤","보습, 각질 케어","시어버터, 스쿠알란, 마카다미아씨오일, 토코페롤, 카프릴릭/카프릭트라이글리세라이드, 폴리부텐, 카나우바왁스, 칸데릴라왁스, 호호바씨오일, 비즈왁스, 하이드로제네이티드폴리데센, 토코페릴아세테이트, 다이메티콘, 라우릴라이신, 향료"
"클리어 업 살리실릭 클렌징 폼","여드름 케어, 트러블 진정","정제수, 살리실릭애씨드, 티트리잎오일, 판테놀, 코카미도프로필베타인, 소듐라우로일사코시네이트, 글리세린, 소듐클로라이드, 멘틸락테이트, 알란토인, 다이소듐이디티에이, 시트릭애씨드, 페녹시에탄올, 에틸헥실글리세린, 향료"
"퍼펙트 커버 그레이 헤어 컬러 크림","새치 커버, 염색 지속력","정제수, 파라페닐렌다이아민(PPD), 레조시놀, 암모니아, 세틸알코올, 스테아릴알코올, 소듐라우릴설페이트, 소듐설파이트, 에리쓰르빅애씨드, 프로필렌글라이콜, 올레익애씨드, 다이소듐이디티에이, 암모늄하이드록사이드, 아이소프로필알코올, 향료"
"센서티브 배리어 리페어 앰플","민감성 피부 진정, 장벽케어","정제수, 글리세린, 부틸렌글라이콜, 나이아신아마이드, 바쿠치올, 니코틴아마이드모노뉴클레오타이드(NMN), 콜라겐, 캐모마일추출물, 판테놀, 하이드록시에틸셀룰로오스, 카보머, 트로메타민, 다이소듐이디티에이, 페녹시에탄올, 향료"
